SRID,IncidentGlobalID,SRCreatedDate,InsCreatedDate,WOCreatedDate,SRCategory,BoroughCode,RiskRating
23071289,E5416B67-0692-4888-AB29-AD0391DF2C53,2022-02-19 21:55:00,2022-02-25 14:54:17,,Remove Tree,Queens,7.0
23071289,E5416B67-0692-4888-AB29-AD0391DF2C53,2022-02-19 21:55:00,2022-02-25 14:54:17,,Remove Tree,Queens,8.0
23493187,F3C21D50-E891-4829-8243-A817DA218747,2022-05-02 05:30:39,2022-05-03 15:19:22,2022-05-03 15:20:12,Hazard,Bronx,9.0
24258242,1F58426B-0BB3-40DB-BFCE-8FC2341CB9EA,2022-08-15 17:35:43,2022-08-22 16:42:07,2022-08-22 16:44:17,Prune,Queens,8.0
24258242,1F58426B-0BB3-40DB-BFCE-8FC2341CB9EA,2022-08-15 17:35:43,2022-08-22 16:36:06,2022-08-22 16:38:14,Prune,Queens,
24087645,70525EEE-ABE5-47DC-8EB6-98BBDF3ADA0B,2022-07-21 20:15:38,,,Remove Debris,Queens,
23562633,8FD991F9-E22B-44E9-9D5E-42CEE0A5A036,2022-05-16 17:55:02,2022-05-16 20:51:28,,Hazard,Queens,6.0
23631056,05F8F8CA-02BB-4662-AF3C-A857C6D3FDFA,2022-05-23 01:40:10,2022-05-24 16:27:44,,Remove Tree,Brooklyn,6.0
24263447,01EFA078-1638-44E6-9ABC-1BB57C923015,2022-08-17 15:05:00,2022-08-22 15:34:16,2022-08-22 15:34:58,Prune,Brooklyn,8.0
23243982,7CEBD3FC-EE38-417B-A10A-E1125A45BCEF,2022-03-22 14:18:49,,,Illegal Tree Damage,Queens,
22939670,AB96853D-D532-4E94-9199-BD1277420E81,2022-02-03 17:46:00,2022-02-03 17:38:00,2022-02-03 17:43:00,Hazard,Queens,9.0
23346701,A6F3F062-D07A-4976-BDCE-2D00F0FD2ADB,2022-04-08 16:06:00,2022-04-14 15:09:57,2022-04-14 15:10:00,Illegal Tree Damage,Brooklyn,7.0
24122746,00019105-8135-4AC1-A4B7-003C7793EB03,2022-07-27 13:39:51,2022-08-01 12:59:10,,Remove Tree,Bronx,7.0
23109784,9AFE83B1-5942-436C-B9DE-589C44CFE649,2022-02-25 04:32:59,,,Hazard,Queens,
24130379,9466A2B5-31CB-439F-9386-3F5770030EC5,2022-07-28 14:53:32,2022-08-10 12:49:58,2022-08-10 12:50:23,Remove Tree,Queens,6.0
24130379,9466A2B5-31CB-439F-9386-3F5770030EC5,2022-07-28 14:53:32,2022-08-10 12:49:58,2022-08-10 12:50:23,Remove Tree,Queens,6.0
22992053,261F1951-6A72-4A84-93BA-3FF384DFBC2E,2022-02-10 12:28:00,2022-02-10 15:09:44,2022-02-22 22:55:00,Hazard,Manhattan,7.0
23544702,058E35CE-D708-402F-A7FA-3C98CEE73B11,2022-05-12 19:22:00,2021-08-20 15:04:18,2021-08-20 15:04:56,Remove Tree,Staten Island,7.0
23952589,42762BCC-0EE7-4C35-948B-4A27FB510D2A,2022-07-07 13:47:00,2022-08-04 18:19:00,,Prune,Brooklyn,7.0
22966659,E66ECB6E-69F6-4E59-9A95-A4629536D364,2022-02-07 16:29:00,2022-02-08 14:09:10,2022-02-08 14:09:00,Prune,Brooklyn,8.0
23504253,A30461A2-7B23-4545-818D-C6DF5F144999,2022-05-05 14:10:24,2022-05-09 18:05:45,2022-05-09 18:06:00,Hazard,Brooklyn,7.0
24274699,D4D170E7-4DD7-4559-B6BA-48B43C95FDFC,2022-08-19 17:55:00,2022-08-19 12:15:50,2022-08-19 12:18:02,Prune,Queens,7.0
23508286,2DF76FB4-8F75-4575-9329-A11E9D5C74E0,2022-05-04 16:14:00,2022-05-06 13:09:22,2022-05-06 13:10:00,Hazard,Brooklyn,10.0
